	Control.A01	Control.A02	Control.A03	Control.A04	Control.A05	Control.A06	Control.A07	Control.A08	Control.A09	Control.A10	Control.A11	Control.A12	Control.A13	Control.A14	Control.A15	Control.A16	Control.A17	Control.A18	Control.A19	Control.A20	Control.A21	Control.A22	Control.A23	Control.A24	Control.A25	Control.A26	Control.A27	Control.A28	Control.C01	Control.C02	Control.C03	Control.C04	Control.C05	Control.C06	Control.C07	Control.C08	Control.C09	Control.C10	Control.C11	Control.C12	Control.C13	Control.C14	Control.C15	Control.C17	Control.C18	PsO.A01	PsO.A02	PsO.A03	PsO.A04	PsO.A05	PsO.A06	PsO.A07	PsO.A08	PsO.A09	PsO.A10	PsO.A11	PsO.A12	PsO.A13	PsO.A14	PsO.A15	PsO.A16	PsO.A17	PsO.A18	PsO.A19	PsO.A20	PsO.A21	PsO.A22	PsO.A23	PsO.A24	PsO.A25	PsO.A26	PsO.A27	PsO.A28	PsO.C03	PsO.C04	PsO.C05	PsO.C06	PsO.C07	PsO.C08	PsO.C09	PsO.C10	PsO.C11	PsO.C12	PsO.C14	PsO.C15	PsO.C16	PsO.C17	PsO.C18	PsO.C19	PsO.C20	PsO.C21	PsO.C22	PsO.C23	PsO.C24	PsO.C25	PsO.C26	PsO.C27	PsO.C28	PsO.C29	PsO.C30	PsO.C31	PsO.C32	PsO.C33	PsO.C34	PsO.C35	PsO.C36	PsO.C37	PsO.C38	PsO.C39	PsO.C40	PsO.C41	PsO.C42	PsO.C43	PsO.C44	PsO.C45	PsO.C46	PsO.C47	PsO.C48	PsO.C49	PsO.C50	PsO.C51	PsO.C52	PsO.C53	PsO.C54	PsO.C55	PsO.C56	PsO.C57	PsO.C58	PsO.C59	PsO.C60	PsO.C61	PsO.C62	PsO.C63	PsO.C64	PsO.C65	PsO.C66	PsO.C67	PsO.C68	PsO.C69	PsO.C70	PsO.C71	PsO.C72	PsO.C73
PWY-6151: S-adenosyl-L-methionine salvage I	0.00779332	0.0103401	0.00749631	0.0111308	0.00734421	0.00792996	0.0116103	0.0102577	0.0109131	0.00879693	0.0105412	0.0118235	0.00917156	0.0077696	0.0169299	0.0100863	0.0145486	0.0127916	0.012014	0.0102407	0.00873225	0.0079614	0.0143441	0.00857052	0.00959773	0.0088948	0.00581302	0.00971757	0.0103329	0.0137071	0.00637363	0.00398127	0.0101447	0.00585141	0.012635	0.0139225	0.013758	0.00890098	0.0139218	0.00818787	0.00797115	0.0114684	0.0135035	0.0131323	0.013499	0.00753716	0.0121792	0.00711507	0.0133088	0.00793231	0.00691416	0.00847189	0.0118104	0.0145486	0.00867241	0.00630065	0.0121525	0.0113226	0.0103103	0.013349	0.00956791	0.0068262	0.0132548	0.0121678	0.0101876	0.00144812	0.0063105	0.0086066	0.00458468	0.0084804	0.00883753	0.0100283	0.0102622	0.00590436	0.00996052	0.0088888	0.0130465	0.00930042	0.0123351	0.0087253	0.00800322	0.0102382	0.00704317	0.00911936	0.0122772	0.00930781	0.00901372	0.00638384	0.0059747	0.00865992	0.00934986	0.00694652	0.0122142	0.00631334	0.0104755	0.0102808	0.0169315	0.00818277	0.011738	0.00671787	0.00840781	0.00528589	0.00661311	0.0112726	0.0102254	0.00635657	0.00881971	0.00848917	0.00625359	0.0143828	0.0102199	0.0101492	0.00704494	0.00849729	0.00899667	0.00663242	0.00690385	0.00891358	0.00509668	0.0082333	0.0106618	0.00732012	0.00949144	0.0082133	0.0115177	0.00756725	0.00901514	0.0116172	0.00796898	0.00990019	0.00485508	0.00993199	0.0115447	0.00978708	0.00916782	0.00741062	0.0135864	0.00971787	0.00932829	0.00986453	0.0121735	0.0126985	0.010038
PWY-6160: 3-dehydroquinate biosynthesis II (archaea)	0	0	0	0	1.42E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.66E-05	0	0	0	0	0	0	0	0	0	0	0	0	3.57E-06	0	0	0	0	0	0	5.43E-05	0	0	0	0	0	0	0	0	0	1.23E-05	0	0	0	0	0	0	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	0.010956	0.0107759	0.00902421	0.00947595	0.0114367	0.00923637	0.0112055	0.0119053	0.0117934	0.00953624	0.0134534	0.0134541	0.0122774	0.00903777	0.0125455	0.0109392	0.0143168	0.0106423	0.00786083	0.0108767	0.0114722	0.0131358	0.0128811	0.0111675	0.0134118	0.00984294	0.00824668	0.0102814	0.0108368	0.00867205	0.00798196	0.00470984	0.0123405	0.00768401	0.0129166	0.0144604	0.0131443	0.0117385	0.0141959	0.0118866	0.00826837	0.0130902	0.00896401	0.00973017	0.0136198	0.00881607	0.0136399	0.00837034	0.00872011	0.010181	0.00802946	0.00945501	0.0122091	0.00891301	0.00955827	0.0100649	0.00752924	0.0113913	0.0123186	0.00820751	0.0118383	0.009669	0.0113468	0.0143686	0.011798	0.00977769	0.0100304	0.0101306	0.00474001	0.0121665	0.012147	0.0133946	0.00966584	0.00716556	0.010778	0.013779	0.0137582	0.0111642	0.0108791	0.00806606	0.00908743	0.0117766	0.00768567	0.0124293	0.0129984	0.0115516	0.0102656	0.00869392	0.00927115	0.0116624	0.0108412	0.00907227	0.0119441	0.00880335	0.012155	0.0131821	0.0101446	0.0106505	0.0136425	0.010214	0.0122704	0.00742091	0.0110096	0.0102277	0.0109206	0.00779836	0.0118703	0.0116703	0.00772253	0.00798345	0.0112864	0.011214	0.00758448	0.0113456	0.0106936	0.00787355	0.00723048	0.00928022	0.00560486	0.012492	0.0114613	0.010021	0.00961205	0.00904939	0.0126083	0.00838872	0.0101021	0.00832774	0.00620656	0.0118776	0.00764397	0.00894288	0.012127	0.00972355	0.0106283	0.0108976	0.0135797	0.0104118	0.0119929	0.0109385	0.0114482	0.0142565	0.0109106
PWY-6165: chorismate biosynthesis II (archaea)	0	0	0	0	3.78E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000148955	0	0	0	0	0	0	0	0	0	0	0	0	9.51E-06	0	0	0	0	0	0	0.000143365	0	0	0	0	0	0	0	0	0	3.28E-05	0	0	0	0	0	0	0	0	0	0	0
PWY-6167: flavin biosynthesis II (archaea)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000122956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.87E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6168: flavin biosynthesis III (fungi)	0.00278332	0.000638466	0.00292827	0.00168146	0.00381005	0.00335908	0.00140156	0.000934845	0.00283794	0.0013439	0.00303505	0.000318811	0.00181112	0.00642971	0.000496977	0.00199192	0.000388577	0.000984543	0.0014759	0.00313956	0.00277099	0.000974536	0.00199476	0.00192663	0.0020636	0.0031979	0.00331642	0.00119396	0.00382573	0.000506637	0.00385367	0.0019951	0.00225279	0.000558696	0.00131693	0.00100259	0.00135836	0.0024442	0.00152715	0.00229521	0.00203568	0.000132774	0.00100577	0.000482515	0.00014994	0.0035412	0	0.00343985	0.000683927	0.0047726	0.00412338	0.00212801	0.00167628	0.00113286	0.00377049	0.00543008	0.00139641	0.000936033	0.000652865	0.000981303	0.00133428	0.0032561	0.001308	0.00266992	0.00360533	0.00295352	0.00517834	0.00306372	0.0030309	0.00135576	0.00143476	0.00065127	0.00164122	0.00340637	0.000254259	0.00207234	0.000643975	0.00300243	0.00101244	0.000847327	0.00193818	0.00197378	0.00269368	0.00181336	0.000406449	0.00456765	0.00333294	0.00376784	0.00521019	0.00156284	0.00383174	0.00514749	0.000507437	0.00499033	0.00162702	0.000934382	0	0.00404489	0.00179355	0.00336914	0.00182682	0.0038969	0.00490473	0.00277238	0.00165181	0.00356582	0.00165677	0.00314151	0.0019885	0.00153508	0.00161455	0.00191469	0.00207899	0.000107075	0.00112396	0.00301675	0.0035799	0.0026323	0.00234906	0.00129431	0.00208148	0.00314547	0.002953	0.00393981	0.000601409	0.00315378	0.00222895	0.00211618	0.00200236	0.00247065	0.00397508	0.00325827	0.000896856	0.00212578	0.00206133	0.000793901	0.00232944	0.000388457	0.00253995	0.000942334	0.00288984	0.000271079	0.0021347
PWY-6182: superpathway of salicylate degradation	2.37E-05	0	0	5.97E-06	0	1.82E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000163654	0	0	0	0	0	0	0	0	0	8.80E-06	3.18E-05	2.54E-05	0.00163332	3.66E-05	0.000579156	0	0	0	0	0	6.84E-06	0	0	0	0	0	0	0	5.81E-06	0	0	5.89E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000103584	2.02E-05	0	4.62E-05	3.92E-05	6.94E-05	8.88E-05	0	0	1.98E-05	0	0	0.000334595	0	0	6.70E-05	0	0	1.17E-05	0	1.16E-05	0	0	3.66E-05	1.33E-05	0	1.14E-05	0	0	0	3.39E-06	0	0	2.56E-05	1.24E-05	1.05E-05	0	0	0.000206693	0	0.000124337	0	0	0	0	0	8.14E-05	9.34E-05	0	0.000196156	0.000162567	0.000618901	0	0	0	3.58E-05	6.20E-06	0	0	0	6.67E-05	0.000314081	0	4.19E-05	1.61E-05	0	0	6.51E-05	0	0	8.14E-06	0	0	0	0	0
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	3.83E-05	0	0	5.01E-06	0	1.78E-05	0	0	0	0	0	0	5.37E-06	0	0	2.64E-05	0	0	0.000177109	0	0	0	0	0	0	0	5.70E-06	3.66E-06	1.54E-05	2.68E-05	5.82E-05	0.00189437	3.24E-05	0.000572041	1.03E-05	0	0	0	0	5.03E-06	0	0	0	9.66E-06	0	0	0	5.78E-06	0	3.10E-06	6.51E-05	0	0	1.39E-05	0	0	0	0	0	0	0	1.46E-05	0	0	0	0	0	9.90E-05	2.14E-05	0	5.26E-05	3.17E-05	5.91E-05	8.59E-05	0	0	2.57E-05	0	0	0.000378288	2.38E-05	0	7.33E-05	5.00E-05	0	1.09E-05	0	1.51E-05	0	0	3.14E-05	1.05E-05	0	7.27E-06	0	0	0	8.42E-06	0	0	2.07E-05	2.13E-05	0	0	0	0.000251384	0	0.000134491	0	0	9.56E-06	0	0	7.55E-05	0.000116876	0	0.000191932	0.000203883	0.000768693	0	0	0	3.16E-05	5.56E-06	0	0	2.26E-05	6.66E-05	0.000335564	0	6.31E-05	1.30E-05	0	0	6.77E-05	0	0	7.67E-06	0	3.95E-06	0	0	0
PWY-6210: 2-aminophenol degradation	2.75E-05	0	0	0	0	0	0	0	0	0	0	0	6.85E-06	0	0	1.14E-05	2.37E-06	0	1.61E-05	0	0	0	0	0	0	0	0	0	3.38E-06	3.89E-06	4.32E-07	9.07E-05	2.16E-06	1.39E-05	0	0	0	0	0	5.85E-07	0	0	0	0	1.92E-06	0	0	0	0	0	0	0	0	2.25E-06	0	0	0	2.72E-06	0	0	0	0	0	0	0	0	2.71E-06	1.49E-05	1.36E-06	0	1.71E-06	2.30E-06	4.35E-05	2.37E-05	7.90E-07	0	1.83E-06	0	0	0	0	0	5.19E-07	0	0	9.67E-07	0	0	0	0	3.93E-06	0	2.55E-06	0	0	0	0	4.59E-06	0	0	1.67E-05	3.99E-06	2.50E-06	0	0	0.000129828	6.12E-06	4.20E-05	0	0	3.19E-06	0	2.63E-06	2.29E-05	0	0	0	8.68E-06	0.000152902	8.00E-07	0	7.76E-06	1.18E-05	1.55E-06	0	0	0	2.15E-05	4.90E-05	0	3.43E-05	1.26E-05	0	0	8.66E-07	0	0	1.36E-06	0	0	0	0	0
PWY-6215: 4-chlorobenzoate degradation	6.50E-06	0	0	0	0	1.74E-05	0	0	0	0	0	0	0	0	0	7.24E-06	0	0	1.60E-05	0	0	0	0	0	0	0	2.49E-06	0	8.35E-06	0	4.17E-05	2.54E-05	2.14E-06	0	1.07E-05	5.67E-06	0	0	0	0	0	4.27E-06	0	1.14E-05	5.15E-06	0	0	0	0	4.67E-06	2.97E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27E-05	6.57E-06	2.47E-05	3.62E-05	1.80E-06	0.000113465	0	0	0	0	0	0	0	0	4.57E-05	3.29E-06	0	5.28E-06	0	1.63E-06	0	1.25E-05	0	0	0	1.42E-05	0	0	0	0	0	0	6.27E-06	1.08E-05	1.52E-05	0	0	7.35E-05	0	0	1.92E-05	0	1.98E-06	0	0	1.69E-05	1.57E-05	0	3.90E-05	2.49E-06	0.000194483	0	0	0	2.07E-05	3.57E-06	0	0	9.35E-06	2.98E-05	0.000117576	0	5.15E-05	2.59E-05	0	0	3.78E-06	0	0	6.75E-06	0	0	0	0	0
PWY-621: sucrose degradation III (sucrose invertase)	0.00122584	0.00155872	0.001937	0.00140353	0.00133764	0.00416764	0.000865356	0.00258478	0.00221771	0.00414831	0.00296625	0.00261034	0.00249694	0.00362945	0.00116128	0.00182848	0.000605137	0.000530224	0.00142945	0.00449918	0.00106706	0.0015393	0.000806777	0.00168661	0.00122727	0.00330856	0.00286784	0.00146003	0.0017858	0.00084773	0.00393953	0.00384765	0.00217681	0.00387946	0.00295087	0.00147192	0.00140329	0.00297584	0.00234438	0.00179213	0.00364232	0.00103568	0.000759198	0.00149664	0.00120427	0.00332827	0.0014498	0.00197137	0.00179751	0.00297885	0.00348022	0.00588322	0.00145642	0.00129355	0.00342516	0.00324223	0.00135011	0.00371394	0.00157599	0.00160176	0.00203665	0.00337889	0.000646933	0.00388168	0.00214102	0.00142161	0.00396858	0.0017947	0.00294293	0.00219692	0.00110744	0.00201222	0.00170342	0.00326443	0.00204376	0.00162111	0.00184712	0.00301166	0.00170608	0.00255619	0.0013008	0.0024001	0.00190485	0.00231102	0.00414488	0.00273305	0.00426538	0.00214759	0.00409302	0.002042	0.00256984	0.00439956	0.000379573	0.00247624	0.00202908	0.00269433	0.00098313	0.0035778	0.00162844	0.00374741	0.00134713	0.00276856	0.00254961	0.00178637	0.0018221	0.00380548	0.00125274	0.0020121	0.00351246	0.000857924	0.00270272	0.00118573	0.00278937	0.00198114	0.0029386	0.00324211	0.00299657	0.00296179	0.0029696	0.000905885	0.00162885	0.0022319	0.00258868	0.00436535	0.00131557	0.00228137	0.0042602	0.00174238	0.00234872	0.0022193	0.00346647	0.00246615	0.00130648	0.00205132	0.00224845	0.00296589	0.000697154	0.00107703	0.000824928	0.00394887	0.00237984	0.00196147	0.00426236
PWY-622: starch biosynthesis	0	0.0001924	0	0.000155133	9.49E-05	0	0	0.000164078	7.59E-05	0	5.40E-05	0	0	0	6.85E-05	0.000104645	0	0	7.06E-05	0	0.000287274	0.000152628	0	0	0.000650297	0.000110927	0	0	0	0	0	0.00176456	0	0	0.00242181	0	0	0	0	0.00022649	0	0	0.000172426	0	0	0.000177096	0	0	0	5.61E-05	0	0	0	0.000107547	0	0	8.23E-05	3.54E-05	7.35E-05	0	0	0	0	0	0.000151452	0	0.000159093	0.00191925	0	0	0	0	0	0.000374406	0.00682355	0	0	0.000177745	0	0.000120264	0	0	0	0.000301058	4.03E-05	0	0	0.000567349	0	0.000458474	0.000122283	0	0.000214733	0.000168214	0	0.000165445	0	0	8.04E-05	6.26E-05	5.40E-05	0.000186889	0	0	0	0	5.27E-05	0	0.000456987	0	0.00256211	4.46E-05	0.00011334	0	0.000426604	3.63E-05	0.000174187	0	0	0.00012395	0.00457067	0.00011678	0	7.88E-05	0	0	0	3.93E-05	0	0.000176652	0	5.46E-05	0.000806917	0.000482799	7.34E-05	0	0.000124145	0.00014166	0	0.000138214	0.000112187	0.00012732	0.000503784
PWY-6270: isoprene biosynthesis I	0.00368842	0.00424798	0.00498031	0.00313748	0.00460732	0.00680045	0.00223835	0.00368537	0.00478425	0.00518253	0.00286794	0.00414092	0.00374588	0.00818149	0.00159961	0.00563796	0.00244214	0.00392463	0.00322159	0.0054882	0.00512486	0.00271263	0.00241034	0.00401108	0.00368223	0.00682409	0.00691999	0.00831591	0.00571586	0.00317179	0.00654872	0.00297784	0.00408737	0.0046051	0.00576415	0.00355295	0.00300787	0.00596555	0.00541243	0.00405828	0.00515026	0.00190996	0.00330343	0.00347384	0.00161498	0.00609788	0.00354493	0.00585747	0.00381593	0.00689356	0.00559723	0.00747813	0.00413768	0.0015231	0.00663158	0.00666876	0.00383615	0.00295872	0.00422496	0.00120857	0.00505287	0.00616758	0.00158504	0.00405414	0.00526546	0.00235777	0.00816764	0.00463532	0.00305846	0.00472231	0.00364466	0.00347882	0.00384035	0.00583369	0.00879499	0.00338221	0.00417517	0.00649703	0.00265952	0.00444753	0.00337506	0.00264535	0.00402619	0.00651239	0.00198701	0.0060542	0.00762107	0.00607765	0.00745959	0.00445694	0.005101	0.00719613	0.00383538	0.0072065	0.00411081	0.00291103	0.000365603	0.00743394	0.00171894	0.0082456	0.00238854	0.0055184	0.00581655	0.00503003	0.00300565	0.00589576	0.00338457	0.00586707	0.0049014	0.0016903	0.00397114	0.00227762	0.00499225	0.0033084	0.00481593	0.00551159	0.00453034	0.0044218	0.00411401	0.00316016	0.00352886	0.0052016	0.00281875	0.00746131	0.00303407	0.0054351	0.00622639	0.00394245	0.00442915	0.00622739	0.00592175	0.0031549	0.00425781	0.00351203	0.00469049	0.00690883	0.00250671	0.00703216	0.00549513	0.00320081	0.00420458	0.00341633	0.00280597
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.0114705	0.0106318	0.00994131	0.0118836	0.009382	0.00993096	0.0135345	0.0116239	0.0109319	0.0091904	0.0117803	0.0130909	0.0115316	0.00959734	0.0145777	0.0110016	0.0174492	0.0151752	0.0147204	0.0112091	0.0104828	0.0118634	0.015479	0.0104913	0.0112352	0.0104278	0.00711291	0.0101468	0.0109838	0.0169943	0.00802216	0.00444546	0.0112577	0.00669183	0.0111047	0.0128817	0.0143439	0.0111055	0.0129449	0.0095956	0.00917798	0.0148757	0.0165688	0.0151421	0.0144365	0.00918895	0.0121064	0.00862139	0.0146289	0.0103776	0.00808841	0.01011	0.0126004	0.0165508	0.00916671	0.0102412	0.0132422	0.0110485	0.010547	0.0171832	0.0115918	0.0092074	0.0151005	0.0127302	0.0116204	0.00968564	0.00963552	0.00974522	0.00697556	0.011728	0.0106284	0.0120113	0.0119193	0.00711595	0.0119479	0.0140343	0.0121335	0.0110547	0.0139007	0.00860978	0.00984334	0.0109986	0.00974423	0.0102617	0.0108176	0.0119485	0.0103901	0.00910623	0.00992253	0.00900953	0.0106011	0.00905087	0.0156196	0.00783561	0.0108256	0.0111681	0.0184343	0.0103013	0.0122423	0.00853718	0.0115166	0.00794662	0.0105974	0.0102358	0.0103878	0.00819078	0.00980576	0.0101434	0.00802566	0.0168928	0.0100268	0.012394	0.007872	0.0109104	0.00899064	0.00845848	0.00728287	0.00969394	0.00698644	0.0128006	0.00951614	0.00868894	0.00983905	0.00972352	0.0128515	0.00780986	0.00930058	0.0132615	0.00994	0.0110501	0.00694337	0.0106924	0.0104671	0.0101689	0.00931099	0.00960102	0.0152838	0.00984039	0.0118065	0.0101931	0.0115285	0.0135469	0.0105786
PWY-6281: L-selenocysteine biosynthesis II (archaea and eukaryotes)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000167645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0.00446365	0.00131532	0.0033054	0.00172685	0.00139272	0.00361437	0.000602939	0.00108716	0.00199774	0.00486198	0.00200475	0.00090491	0.00268673	0.00316649	0.000714634	0.00187507	0.000341913	0.000312983	0.00181965	0.00434588	0.00115338	0.00206073	0.00139019	0.000708088	0.00069838	0.00293793	0.00277336	0.000897327	0.00398989	0.00120337	0.00368511	0.00564919	0.00223636	0.00601337	0.00211502	0.00136182	0.000532406	0.00197905	0.00236895	0.00158486	0.0051259	0.00118723	0.000526278	0.00119714	0.000518117	0.00349484	0.000960267	0.00289118	0.00221909	0.00185914	0.00477718	0.00444912	0.0003877	0.00165907	0.0040344	0.00337288	0.00205525	0.0029432	0.000562187	0.00359551	0.0023648	0.00280783	0.000499417	0.00114323	0.00387859	0.00773472	0.00174062	0.00286191	0.00584338	0.00124395	0.00319615	0.00164888	0.00206687	0.00433702	0.00358775	0.00240251	0.00149373	0.00328887	0.000692535	0.00716309	0.00287482	0.0018241	0.00339916	0.000821893	0.00183318	0.00221559	0.00367004	0.00360987	0.00358322	0.00166693	0.00341766	0.00348247	0.000659254	0.00260796	0.000687576	0.00120907	0.000443593	0.00194279	0.000771122	0.00321965	0.00245613	0.00361965	0.00659702	0.00340881	0.00183095	0.00367044	0.00218993	0.00329397	0.00365273	0.000464456	0.00180124	0.00148778	0.00440193	0.0029705	0.00181708	0.00473563	0.00604647	0.00304372	0.00502359	0.00102049	0.00224581	0.00342642	0.00490654	0.00276779	0.000994532	0.00298244	0.00341808	0.00174549	0.00427301	0.000639978	0.00453612	0.00338931	0.00171951	0.00147349	0.00172256	0.00324975	0.000592814	0.00118531	0.000686782	0.00201605	0.004172	0.00288378	0.00303462
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	0.00108341	0.000149847	0.00125332	0.000476974	0.000897742	0.000308787	0.000117056	0.000152567	2.84E-05	0.000618641	0.000299511	1.39E-05	0.000237409	0.000188673	0.000145421	0.000509866	0.00023014	0	0.0005427	2.27E-05	0.000513661	0.000355181	0	0	0.000157122	0.000196045	0.00091472	6.20E-05	0.000558486	0.000124026	0.000909621	0.00188676	0.000557042	8.68E-05	0.00133445	0.000243442	0.000170729	0.000317402	0.000374804	0.000399637	0.00104362	0.000135215	0.000146828	0.000157015	0.000208495	0.000836409	4.32E-05	0.00117936	0	5.47E-05	0.00133285	4.88E-05	0	0.000260161	0.000723595	0	0.000604837	3.88E-05	2.36E-05	6.67E-05	0.000303753	0.000448569	0	0	0.000183974	0.000810247	0.000272417	0	0.00383245	0.000542705	0.000680561	0.000520297	0.000380549	0.00156908	0.000150275	0.000594646	0.00024895	3.83E-05	4.04E-05	0.000261737	0.000893161	8.15E-05	0.00125071	0	0.000141168	0.000134887	2.97E-05	0.00110129	0.000174222	0.000244121	3.41E-05	0.000376786	0.000240376	0.0012906	0.000277026	0.000182941	3.99E-05	0.000220586	0	1.50E-05	0.00012456	0.00144173	0.000398228	0.00143534	0.000201458	0.000942959	5.20E-05	0	0.000656645	0	0.000239846	0.00014827	0.00174166	0.000463715	0.000540214	0.00139896	0.00151704	0.000460281	0.00204679	2.04E-05	0	0.000861587	0.000667274	0.000117944	0.000230016	0.00109181	0.000543231	0.000623677	0.00167951	0.000272549	0.00163179	0.00090063	0.000146885	0.000221113	0.000620606	0.00015267	1.51E-05	0.000849651	0.000626211	0.000696296	0.000141034	8.45E-05	0.000237675
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	0.00174099	0.000277025	0.00191676	0.000810504	0.000816379	0.000584766	0.000211004	0	0	0.000724339	0.000359707	2.79E-05	0.000415979	0.000365369	0.00025909	0.000871793	9.70E-05	0	0.000891041	4.58E-05	0.000626398	0.000637043	0	0	0.000264119	0.000378917	0.00147353	0	0.00098896	0.000232697	0.00152925	0.00279691	0.000963527	0.000171167	0.00144873	0.000440164	0.000110249	0.000579383	0.000672068	0.000690281	0.00172811	0.000169639	0.000252424	0.00029071	0.000337881	0.00124309	8.53E-05	0.00180118	0	0.000108209	0.00213334	9.78E-05	0	0.000469222	0.00127109	0	0.00100534	7.74E-05	4.68E-05	0	0.000331536	0.000765851	0	0	0.000322817	0.00148394	9.60E-05	0	0.00404539	0.000396027	0.00105473	0.000746844	0.000678049	0.00238294	0.000288765	0.000665817	0.000451058	7.62E-05	7.84E-05	0.000506328	0.00143413	0.000160021	0.00194136	0	0	0.000261039	5.91E-05	0.00176138	0.000337885	0.000360525	6.76E-05	0.000700088	0.000204825	0.00166312	0.000358648	0.000322763	7.56E-05	0.000264749	0	3.00E-05	0.000242476	0.00217772	0.000754928	0.00211151	0.00030188	0.00157149	0.000100697	0	0.00115672	0	0.000303214	0.000281363	0.0025794	0.000834747	0.000904609	0.00215873	0.002412	0.000831159	0.00291301	4.05E-05	0	0.00144796	0.001204	0.000231602	0.000304194	0.00168002	0.000982341	0.00100443	0.00248208	0.000135966	0.00244301	0.00149616	0.000199314	0.000405302	0.000669104	0	0	0.000680638	0	0.00113783	0.000255363	9.95E-05	0.00045401
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)	4.35E-05	0.00157305	0.000619005	0.00197007	0.00183756	4.32E-05	0.00122574	0.000936044	0.00247229	0.00133978	0.00125207	0.00148677	0.00192392	2.41E-05	0.000545322	0.00134876	0.00152447	0.000767297	0.000476645	0.000243562	0.000564208	0.00117335	0.000377133	0.00099536	0.00182743	0.000603602	6.05E-06	0.000425349	0.000131644	0.000773995	8.57E-05	0.00155187	0.00153646	0.00107296	0.00189228	0.00185384	0.00139422	0.00147698	0.000410005	0.000903943	9.78E-05	0.000782923	0.000328675	0.000846822	0.00180377	0.00081362	0.00185466	0.000323241	0.000666617	0.00166654	0.00018417	7.91E-05	0.00261798	0.000875143	0.000286469	0.000280731	0.000502296	0.00140912	0.0024538	0.00114038	0.000237122	0.00158475	0.0010504	0.00218709	0.00165704	3.87E-05	0.00127954	0.00147202	6.19E-05	0.00195972	0.00267892	0.00265142	0.00105827	0.000321372	0.0012679	0.000331879	0.00111369	0.000749785	0.00137303	0.000241046	0.000441233	0.00187402	0.000959203	0.00202918	0.00177113	0.000668302	0.000651603	0.000380272	0.000344953	0.00195769	0.0014671	0.0012499	0.000565774	9.43E-05	0.00166026	0.00202398	0.000599332	0.00299289	0.00108109	0.000922169	0.00128094	0.00202682	0.000364035	0.000318453	0.000953562	0.000501403	0.00222105	0.000727975	0.00120513	0.000620062	0.00191371	0.00122068	0.000411417	0.000616963	0.00169513	0.000179467	0.000541522	0.00140171	0.000845131	0.000546928	0.00317705	0.00148875	0.000342668	0.000922408	0.00017178	0.00117096	0.00134011	0.000661187	0.000493948	0.00209369	7.49E-05	0.00102965	0.000981362	0.000200768	0.0018442	0.000483899	0.000524232	0.00119449	0.000745609	0.00110382	0.00074487	0.00160804	0.0011105
